,,,畢業生總計,未升學未就業總計,正在接受職業訓練,正在軍中服役,需要工作而未找到,補習或準備升學,健康不良在家休養,準備出國,其他原因,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外或大陸就讀,其他學校,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
縣市立,實用技能學程,設計群,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,1,6,0,2,0,1,0,0,0,0,0,0,0,4
縣市立,實用技能學程,餐旅群,31,1,0,0,1,0,0,0,0,14,0,0,9,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,2,0
縣市立,實用技能學程,美容造型群,34,1,1,0,0,0,0,0,0,23,0,0,20,2,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
私立,普通科,普通科,28518,814,19,111,18,596,9,21,40,27461,6099,72,19636,647,4,0,3,1,16,141,264,558,20,170,6,1,14,1,0,7,6,2,25,2,0,0,0,6,37,1,0,22,40
私立,職業科,機械群,1739,183,7,124,44,2,1,0,5,1358,161,48,929,198,3,2,0,0,4,2,11,0,0,184,4,0,97,2,0,9,16,5,12,0,0,0,14,0,4,0,1,2,18
私立,職業科,動力機械群,3972,506,13,309,106,10,6,2,60,1882,75,67,1214,410,3,1,17,33,0,0,52,10,0,1554,62,12,311,9,8,78,86,146,104,6,3,4,267,16,94,1,2,25,320
私立,職業科,電機與電子群,12542,1004,48,572,217,48,8,5,106,9751,759,177,7132,1363,15,22,48,80,0,5,125,7,18,1696,50,10,482,49,2,97,113,40,250,62,8,0,78,41,108,1,4,44,257
私立,職業科,土木與建築群,212,18,0,9,4,5,0,0,0,172,19,1,125,20,1,0,1,0,0,1,3,1,0,21,0,0,2,0,0,2,1,0,6,0,0,0,0,0,1,0,0,0,9
私立,職業科,商業與管理群,13321,566,26,230,183,43,18,4,62,11475,829,367,8841,1115,24,52,47,84,0,0,95,10,11,1205,9,4,121,7,0,30,220,37,258,58,11,2,29,26,90,4,9,50,240
私立,職業科,外語群,5197,91,2,25,18,23,2,10,11,4940,479,127,3974,257,4,0,5,6,3,1,31,51,2,143,1,1,4,0,1,0,1,1,56,0,0,0,0,11,15,2,1,4,45
私立,職業科,設計群,6484,269,22,54,34,93,7,11,48,5765,241,111,4703,617,13,0,6,9,0,0,26,33,6,412,4,0,22,0,1,10,41,10,87,7,0,1,40,9,35,6,1,53,85
私立,職業科,家政群,6950,402,37,43,237,24,26,4,31,4661,162,83,3329,697,41,48,110,135,5,1,16,3,31,1822,28,3,44,4,1,3,77,9,198,19,4,4,517,32,33,12,18,114,702
私立,職業科,餐旅群,18903,1614,102,712,499,64,37,22,178,12955,541,331,9335,2118,59,73,240,96,2,3,84,27,46,4180,68,11,259,23,3,81,286,46,2403,19,15,3,96,70,126,6,18,143,504
私立,職業科,海事群,50,11,0,9,0,2,0,0,0,33,2,0,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,職業科,藝術群,2382,152,3,41,15,46,2,11,34,1932,148,54,1454,228,0,1,4,2,1,0,4,27,9,286,7,0,13,0,0,7,26,3,68,0,3,0,1,7,7,1,1,79,63
私立,職業科,綜合職能群,418,151,30,0,54,5,49,0,13,28,0,0,23,5,0,0,0,0,0,0,0,0,0,236,6,2,25,0,0,8,20,1,44,0,0,0,13,45,0,2,2,14,54
私立,綜合高中,學術群,2151,74,6,25,6,25,0,0,12,2035,311,5,1557,103,0,0,0,0,0,4,17,34,4,31,2,0,0,0,0,0,7,0,6,0,0,0,1,4,6,0,0,0,5
私立,綜合高中,機械群,71,3,0,1,2,0,0,0,0,47,1,0,21,25,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
私立,綜合高中,動力機械群,97,16,0,8,4,4,0,0,0,54,5,0,34,15,0,0,0,0,0,0,0,0,0,27,0,0,6,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,3
私立,綜合高中,電機與電子群,1311,46,1,26,2,7,4,0,6,1147,168,18,882,68,1,0,0,0,0,5,3,2,0,117,3,0,18,4,1,3,3,9,14,4,0,0,0,2,39,0,0,3,14
私立,綜合高中,化工群,170,0,0,0,0,0,0,0,0,170,17,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,2623,84,4,25,23,11,1,2,18,2435,268,52,1954,119,4,8,2,4,0,0,21,3,0,101,0,0,14,1,0,0,5,3,23,5,0,0,1,3,22,0,0,10,14
私立,綜合高中,外語群,1243,16,1,3,2,6,0,2,2,1199,78,5,1049,47,3,0,0,0,0,0,3,14,0,24,0,0,2,0,0,0,1,0,4,1,1,1,0,4,6,1,1,1,1
私立,綜合高中,設計群,794,22,1,9,4,7,0,0,1,747,57,2,642,28,9,1,0,2,0,0,1,5,0,16,0,0,3,1,0,0,3,0,3,0,0,0,0,2,1,0,0,1,2
私立,綜合高中,家政群,609,34,1,4,14,3,1,0,11,516,15,7,472,21,0,0,0,0,0,0,1,0,0,51,1,0,4,0,0,0,0,2,13,0,0,0,8,5,5,3,0,6,4
私立,綜合高中,餐旅群,1570,73,7,32,21,3,2,0,8,1310,115,10,1062,93,3,0,0,12,0,0,13,2,0,176,1,0,8,0,0,1,4,1,82,0,0,0,1,4,39,0,0,16,19
私立,綜合高中,藝術群,18,1,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,1,0
私立,綜合高中,綜合職能群,278,17,2,9,3,1,0,0,2,230,13,0,197,9,6,0,0,0,0,0,4,1,0,25,0,0,1,0,0,0,2,0,12,0,0,0,0,3,1,1,0,0,5
私立,實用技能學程,機械群,79,20,0,18,0,0,0,0,2,14,0,0,4,7,0,0,0,3,0,0,0,0,0,45,1,0,20,0,0,1,5,0,6,6,0,0,2,2,0,0,0,0,2
私立,實用技能學程,動力機械群,1140,230,1,134,45,12,3,0,35,265,9,6,167,42,10,0,0,24,0,0,7,0,0,629,28,4,113,4,2,37,37,56,52,4,0,0,127,9,15,1,1,26,113
私立,實用技能學程,電機與電子群,643,91,0,42,32,0,3,0,14,376,7,8,227,112,0,0,2,3,0,0,6,1,10,175,14,4,65,5,0,11,14,2,15,1,0,0,3,4,20,0,0,1,16
私立,實用技能學程,土木與建築群,17,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
私立,實用技能學程,商業與管理群,1357,176,1,83,52,5,7,1,27,720,14,18,477,137,19,17,6,26,0,0,4,2,0,428,3,0,42,7,3,8,81,16,74,43,3,1,15,20,12,2,7,12,79
私立,實用技能學程,設計群,96,11,0,2,9,0,0,0,0,56,3,0,43,7,0,0,0,3,0,0,0,0,0,29,0,0,2,1,0,3,3,0,10,0,0,1,3,0,0,0,0,0,6
私立,實用技能學程,食品群,140,30,1,1,27,0,0,1,0,68,1,0,38,24,1,1,0,0,0,0,3,0,0,40,0,0,9,1,0,2,2,1,19,0,0,1,0,0,0,0,0,0,5
私立,實用技能學程,餐旅群,3719,490,10,188,209,13,10,2,58,1622,40,18,1006,444,4,11,7,66,0,0,22,0,4,1544,30,0,138,15,3,54,118,35,750,6,9,2,30,29,31,1,2,71,220
私立,實用技能學程,美容造型群,1517,177,21,22,92,11,8,0,23,571,21,4,340,139,1,4,17,29,2,0,1,0,13,757,1,0,45,3,0,4,33,11,112,8,3,0,216,21,13,1,0,57,229
