表1-2-9 高級中等學校畢業生升學情形—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,動力機械群,"1,334",338,14,8,199,75,10, -, -,25, -, -,7, -, -,100.00,25.34,1.05,0.60,14.92,5.62,0.75, -, -,1.87, -, -,0.52, -, -,
,,,電機與電子群,"1,486",796,35,62,400,251, -,11,12,5, -,1,8,1,10,100.00,53.57,2.36,4.17,26.92,16.89, -,0.74,0.81,0.34, -,0.07,0.54,0.07,0.67,
,,,土木與建築群,186,123,11,16,74,20,1,1, -, -, -, -, -, -, -,100.00,66.13,5.91,8.60,39.78,10.75,0.54,0.54, -, -, -, -, -, -, -,
,,,商業與管理群,"2,156","1,221",32,41,784,279,24,19,7,29, -, -,4,2, -,100.00,56.63,1.48,1.90,36.36,12.94,1.11,0.88,0.32,1.35, -, -,0.19,0.09, -,
,,,設計群,279,153,9,2,100,34,2,1, -,3, -, -,2, -, -,100.00,54.84,3.23,0.72,35.84,12.19,0.72,0.36, -,1.08, -, -,0.72, -, -,
,,,農業群,181,123,9,6,75,20,7,3, -, -, -, -,3, -, -,100.00,67.96,4.97,3.31,41.44,11.05,3.87,1.66, -, -, -, -,1.66, -, -,
,,,食品群,425,236,8,6,119,85,1,1,8, -, -, -,8, -, -,100.00,55.53,1.88,1.41,28.00,20.00,0.24,0.24,1.88, -, -, -,1.88, -, -,
,,,餐旅群,"4,173","1,900",49,20,"1,197",518,4,11,9,66, -, -,22, -,4,100.00,45.53,1.17,0.48,28.68,12.41,0.10,0.26,0.22,1.58, -, -,0.53, -,0.10,
,,,水產群,35,26,14,2,8,2, -, -, -, -, -, -, -, -, -,100.00,74.29,40.00,5.71,22.86,5.71, -, -, -, -, -, -, -, -, -,
,,,海事群,62,35,7, -,24,4, -, -, -, -, -, -, -, -, -,100.00,56.45,11.29, -,38.71,6.45, -, -, -, -, -, -, -, -, -,
,,,美容造型群,"1,703",684,22,5,415,159,6,6,25,29,2, -,2, -,13,100.00,40.16,1.29,0.29,24.37,9.34,0.35,0.35,1.47,1.70,0.12, -,0.12, -,0.76,
