表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,設計群,279,92, -, -,8,1, -,5,18,1,25, -,1,1,6, -,1, -,2, -,23,100.00,32.97, -, -,2.87,0.36, -,1.79,6.45,0.36,8.96, -,0.36,0.36,2.15, -,0.36, -,0.72, -,8.24,
,,,農業群,181,33,9, -,1,1, -, -,3,1,10, -,1, -,1,2,1,1, -,1,1,100.00,18.23,4.97, -,0.55,0.55, -, -,1.66,0.55,5.52, -,0.55, -,0.55,1.10,0.55,0.55, -,0.55,0.55,
,,,食品群,425,119,2, -,28,2, -,3,5,2,59,1, -,1,2,1,1, -, -,1,11,100.00,28.00,0.47, -,6.59,0.47, -,0.71,1.18,0.47,13.88,0.24, -,0.24,0.47,0.24,0.24, -, -,0.24,2.59,
,,,餐旅群,"4,173","1,683",33, -,143,16,3,58,125,41,819,6,10,3,32,31,42,2,2,78,239,100.00,40.33,0.79, -,3.43,0.38,0.07,1.39,3.00,0.98,19.63,0.14,0.24,0.07,0.77,0.74,1.01,0.05,0.05,1.87,5.73,
,,,水產群,35,7,2, -, -, -, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -,100.00,20.00,5.71, -, -, -, -, -, -, -,14.29, -, -, -, -, -, -, -, -, -, -,
,,,海事群,62,12,3, -,5,1, -,1, -, -,2, -, -, -, -, -, -, -, -, -, -,100.00,19.35,4.84, -,8.06,1.61, -,1.61, -, -,3.23, -, -, -, -, -, -, -, -, -, -,
,,,美容造型群,"1,703",816,1, -,47,5, -,4,37,17,119,8,3, -,237,21,13,2,1,60,241,100.00,47.92,0.06, -,2.76,0.29, -,0.23,2.17,1.00,6.99,0.47,0.18, -,13.92,1.23,0.76,0.12,0.06,3.52,14.15,
國立,,,,"79,112","3,908",180,41,524,62,6,123,275,79,766,38,9,2,192,164,679,16,30,128,594,100.00,4.94,0.23,0.05,0.66,0.08,0.01,0.16,0.35,0.10,0.97,0.05,0.01,0.00,0.24,0.21,0.86,0.02,0.04,0.16,0.75,
,普通科,,,"34,267",185,1, -,8, -, -,4,13,1,28,2, -, -,1,7,99,1, -,4,16,100.00,0.54,0.00, -,0.02, -, -,0.01,0.04,0.00,0.08,0.01, -, -,0.00,0.02,0.29,0.00, -,0.01,0.05,
,職業科,,,"30,637","2,268",107,14,303,30,5,72,160,36,450,22,5,1,102,119,382,10,17,65,368,100.00,7.40,0.35,0.05,0.99,0.10,0.02,0.24,0.52,0.12,1.47,0.07,0.02,0.00,0.33,0.39,1.25,0.03,0.06,0.21,1.20,
,,,機械群,"4,502",249,7,1,92, -, -,16,7,5,16,2, -, -,13,12,36,7, -,3,32,100.00,5.53,0.16,0.02,2.04, -, -,0.36,0.16,0.11,0.36,0.04, -, -,0.29,0.27,0.80,0.16, -,0.07,0.71,
,,,動力機械群,"1,239",186,13,2,33,1, -,10,5,3,21, -, -, -,21,10,53, -, -,3,11,100.00,15.01,1.05,0.16,2.66,0.08, -,0.81,0.40,0.24,1.69, -, -, -,1.69,0.81,4.28, -, -,0.24,0.89,
,,,電機與電子群,"5,195",250,13,2,41,11,1,8,14,3,26,5, -, -,11,11,62, -,1,3,38,100.00,4.81,0.25,0.04,0.79,0.21,0.02,0.15,0.27,0.06,0.50,0.10, -, -,0.21,0.21,1.19, -,0.02,0.06,0.73,
,,,化工群,"1,268",37,1, -,6, -, -,1, -, -,10,2, -, -,4, -,9, -,1, -,3,100.00,2.92,0.08, -,0.47, -, -,0.08, -, -,0.79,0.16, -, -,0.32, -,0.71, -,0.08, -,0.24,
,,,土木與建築群,"1,267",62,4, -,1, -, -,6,6, -,14, -, -, -,1,1,25, -, -, -,4,100.00,4.89,0.32, -,0.08, -, -,0.47,0.47, -,1.10, -, -, -,0.08,0.08,1.97, -, -, -,0.32,
,,,商業與管理群,"7,990",223,5,2,7,2, -,3,13,1,57,4,2,1,6,5,39, -,2,23,51,100.00,2.79,0.06,0.03,0.09,0.03, -,0.04,0.16,0.01,0.71,0.05,0.03,0.01,0.08,0.06,0.49, -,0.03,0.29,0.64,
,,,外語群,887,6, -, -, -, -, -, -,1, -, -, -, -, -, -,1,3, -, -,1, -,100.00,0.68, -, -, -, -, -, -,0.11, -, -, -, -, -, -,0.11,0.34, -, -,0.11, -,
,,,設計群,"1,193",37, -, -,2, -, -,3,5, -,9,2, -, -,3, -,4,1, -,1,7,100.00,3.10, -, -,0.17, -, -,0.25,0.42, -,0.75,0.17, -, -,0.25, -,0.34,0.08, -,0.08,0.59,
,,,農業群,"1,803",225,31, -,12, -, -,5,11,4,41,2, -, -,8,13,64, -,2,8,24,100.00,12.48,1.72, -,0.67, -, -,0.28,0.61,0.22,2.27,0.11, -, -,0.44,0.72,3.55, -,0.11,0.44,1.33,
,,,食品群,"1,297",117,2,2,6,3, -,5,14, -,27,2, -, -,6,1,30, -,1, -,18,100.00,9.02,0.15,0.15,0.46,0.23, -,0.39,1.08, -,2.08,0.15, -, -,0.46,0.08,2.31, -,0.08, -,1.39,
,,,家政群,"1,414",93,4, -,9, -, -, -,4, -,30, -, -, -, -, -,6,1,1,7,31,100.00,6.58,0.28, -,0.64, -, -, -,0.28, -,2.12, -, -, -, -, -,0.42,0.07,0.07,0.50,2.19,
,,,餐旅群,978,105,2,1,3,1,2,1,7,2,44,1,1, -,1, -,17, -, -, -,22,100.00,10.74,0.20,0.10,0.31,0.10,0.20,0.10,0.72,0.20,4.50,0.10,0.10, -,0.10, -,1.74, -, -, -,2.25,
,,,水產群,305,62,2, -,6,2,1,2,6,1,6, -, -, -,3,3,7, -,2, -,21,100.00,20.33,0.66, -,1.97,0.66,0.33,0.66,1.97,0.33,1.97, -, -, -,0.98,0.98,2.30, -,0.66, -,6.89,
,,,海事群,269,66,1, -,2,6, -,3,2,10,6,1, -, -,4, -,26, -, -,2,3,100.00,24.54,0.37, -,0.74,2.23, -,1.12,0.74,3.72,2.23,0.37, -, -,1.49, -,9.67, -, -,0.74,1.12,
,,,藝術群,151,13, -, -, -, -, -, -, -, -, -,1,1, -, -, -,1, -, -,5,5,100.00,8.61, -, -, -, -, -, -, -, -, -,0.66,0.66, -, -, -,0.66, -, -,3.31,3.31,
