表1-2-6 高級中等學校畢業生就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,南投縣,,268,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,100.00,0.37, -, -, -, -, -,0.37, -, -, -, -, -, -, -, -, -, -, -, -, -,
,雲林縣,,381,11, -, -, -, -, -, -,1,1,2, -, -, -, -, -,3, -, -,1,3,100.00,2.89, -, -, -, -, -, -,0.26,0.26,0.52, -, -, -, -, -,0.79, -, -,0.26,0.79,
,嘉義縣,,187,3,1, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -,100.00,1.60,0.53, -, -, -, -, -, -, -,1.07, -, -, -, -, -, -, -, -, -, -,
,屏東縣,,568,49,2, -, -, -, -,2,1, -,1, -, -,1, -,1,38, -, -,3, -,100.00,8.63,0.35, -, -, -, -,0.35,0.18, -,0.18, -, -,0.18, -,0.18,6.69, -, -,0.53, -,
,臺東縣,,14,4, -, -, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -, -, -,100.00,28.57, -, -, -, -, -,28.57, -, -, -, -, -, -, -, -, -, -, -, -, -,
,花蓮縣,,43,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -,9, -, -, -, -,100.00,20.93, -, -, -, -, -, -, -, -, -, -, -, -, -, -,20.93, -, -, -, -,
,澎湖縣,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,基隆市,,371,7, -, -, -,1, -, -, -, -,6, -, -, -, -, -, -, -, -, -, -,100.00,1.89, -, -, -,0.27, -, -, -, -,1.62, -, -, -, -, -, -, -, -, -, -,
,新竹市,,817,6,2, -, -, -, -, -, -, -,1, -, -, -, -, -,2, -,1, -, -,100.00,0.73,0.24, -, -, -, -, -, -, -,0.12, -, -, -, -, -,0.24, -,0.12, -, -,
,嘉義市,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
